record_type,bundle_id,profile_id,overlay_file,overlay_sha256,preset_directory,preset_tree_sha256,expected_repairs,art_direction,layer,relative_path,file_sha256,section,key,semantic_type,guard_value,operation,operand,min_value,max_value,rationale
"PROFILE","elder.10-28-16.first-pass","10.28.16","026. STYLE - 10.28.16 (SE).ini","e8b9720a3d378c66ea0d30b2ae4b9e4bb008389b8bd0641dad07cba67e93c938","10.28.16","2e061a58639920ad677020bb7f041f6aa7004a7c1a079f9358ed98263bdf422d","312","modernized_legacy_se_with_cleaner_nights_and_controlled_bloom","","","","","","","","","","","",""
"PROFILE","elder.11-11-11.first-pass","11.11.11","027. STYLE - 11.11.11 (LE).ini","c4faf9167774f390229c9544ec23667d797e9b4b8643daaf975cda32e171be1a","11.11.11","87f8df4c3dd571d0c57cde2f13a1712024756008d079898651c57a98e2579f5e","312","modernized_legacy_le_with_filmic_headroom_and_retained_character","","","","","","","","","","","",""
"PROFILE","elder.arrival-of-autumn.first-pass","Arrival of Autumn","029. STYLE - Arrival of Autumn.ini","389694be65d0d968c1aecb9d96ca7f07f8f469d0d311c20ab4ef35f466d1eecd","Arrival of Autumn","0fd361bb2d1d331c653338856cedf17d150c77b120142359d8d64e07868e73c4","0","golden_autumn_with_highlight_skin_and_weather_headroom","","","","","","","","","","","",""
"PROFILE","elder.jotunheimar.first-pass","Jötunheimar","041. STYLE - Jotunheimar.ini","960c12ad63040fd7d488a6a5f1c477b61fc4c27faa6ed2e8fa600e13fba0c2a2","Jötunheimar","a8bf6bdae95f10df66816ada1f5fc9a90ecf8c837e2158da2a6136bd370ffcd5","141","glacial_separation_with_readable_nights_and_preserved_cold_identity","","","","","","","","","","","",""
"PROFILE","elder.neutral.first-pass","Neutral","049. STYLE - Neutral.ini","7dc31132a1ab24fd742fab36446d1883515a3993f373d36447dd61b98e1998e4","Neutral","4cda2df4d08ec679a817190f5808f402e87bb76fefb02be0e3c35637f41c6ecf","312","restrained_calibration_baseline_with_natural_exterior_separation","","","","","","","","","","","",""
"RULE","","10.28.16","","","","","","","OVERLAY","026. STYLE - 10.28.16 (SE).ini","e8b9720a3d378c66ea0d30b2ae4b9e4bb008389b8bd0641dad07cba67e93c938","OVERLAYPARAM1","Operation","OVERLAY_OPERATION","""+ 0.0""","SET","""+ 0.03""","-1","1","day_adaptation_micro_lift"
"RULE","","10.28.16","","","","","","","OVERLAY","026. STYLE - 10.28.16 (SE).ini","e8b9720a3d378c66ea0d30b2ae4b9e4bb008389b8bd0641dad07cba67e93c938","OVERLAYPARAM6","Operation","OVERLAY_OPERATION","""+ 0.02""","SET","""+ 0.03""","-1","1","restore_modern_midscale_definition"
"RULE","","10.28.16","","","","","","","OVERLAY","026. STYLE - 10.28.16 (SE).ini","e8b9720a3d378c66ea0d30b2ae4b9e4bb008389b8bd0641dad07cba67e93c938","OVERLAYPARAM7","Operation","OVERLAY_OPERATION","""+ -0.03""","SET","""+ -0.02""","-1","1","retain_subtle_legacy_desaturation"
"RULE","","10.28.16","","","","","","","OVERLAY","026. STYLE - 10.28.16 (SE).ini","e8b9720a3d378c66ea0d30b2ae4b9e4bb008389b8bd0641dad07cba67e93c938","OVERLAYPARAM8","Operation","OVERLAY_OPERATION","""+ 0.0""","SET","""+ 0.04""","-1","1","improve_night_navigation_readability"
"RULE","","10.28.16","","","","","","","OVERLAY","026. STYLE - 10.28.16 (SE).ini","e8b9720a3d378c66ea0d30b2ae4b9e4bb008389b8bd0641dad07cba67e93c938","OVERLAYPARAM9","Operation","OVERLAY_OPERATION","""+ -0.05""","SET","""+ -0.03""","-1","1","recover_night_color_information"
"RULE","","10.28.16","","","","","","","OVERLAY","026. STYLE - 10.28.16 (SE).ini","e8b9720a3d378c66ea0d30b2ae4b9e4bb008389b8bd0641dad07cba67e93c938","OVERLAYPARAM13","Operation","OVERLAY_OPERATION","""+ 0.02""","SET","""+ 0.05""","-1","1","increase_highlight_rolloff_headroom"
"RULE","","10.28.16","","","","","","","OVERLAY","026. STYLE - 10.28.16 (SE).ini","e8b9720a3d378c66ea0d30b2ae4b9e4bb008389b8bd0641dad07cba67e93c938","OVERLAYPARAM14","Operation","OVERLAY_OPERATION","""+ 0.02""","SET","""+ 0.03""","-1","1","isolate_bloom_to_brighter_energy"
"RULE","","10.28.16","","","","","","","OVERLAY","026. STYLE - 10.28.16 (SE).ini","e8b9720a3d378c66ea0d30b2ae4b9e4bb008389b8bd0641dad07cba67e93c938","OVERLAYPARAM15","Operation","OVERLAY_OPERATION","""+ -0.05""","SET","""+ -0.03""","-1","1","retain_bloom_restraint_without_flatness"
"RULE","","10.28.16","","","","","","","KREATE","ImageSpaces/ISVividClearDAY.ini","d300ba9098d07fa692ae3572832d7bc7f2d2d72a1d7cb43b55a5dc4de8f255b0","","Saturation","SCALAR","1.05","SET","1.03","0","2","calibrate_day_imagespace_chroma"
"RULE","","10.28.16","","","","","","","KREATE","ImageSpaces/ISVividClearNIGHT.ini","f51cd0a1c9cd24cbd83300c7f4c4e44072eb2ed6e0b6b577f96f43e4366f95ad","","Saturation","SCALAR","1.05","SET","1.02","0","2","calibrate_night_imagespace_chroma"
"RULE","","10.28.16","","","","","","","KREATE","Weathers/SunnyTU.ini","bf729f6883488ac37ee860e2350e585a23875b9f5c1d0de503ebe6f23843f1a2","Colors","SkyUpperDay","VECTOR3","0.370807, 0.618012, 0.618012","SCALE_RGB","1.04, 1, 0.96","0","1","reduce_legacy_cyan_cast_in_clear_upper_sky"
"RULE","","10.28.16","","","","","","","KREATE","Weathers/SunnyTU.ini","bf729f6883488ac37ee860e2350e585a23875b9f5c1d0de503ebe6f23843f1a2","Colors","CloudLodDiffuseDay","VECTOR3","0.840531, 0.840531, 0.840531","SCALE_RGB","1.02, 1, 0.98","0","1","add_subtle_solar_warmth_to_distant_clouds"
"RULE","","10.28.16","","","","","","","KREATE","Weathers/Snowstorm.ini","b3f72c1bfd68df522518b3f4988cb85641647d74b23e526090e2f273dc599576","Colors","SkyUpperDay","VECTOR3","0.47292229824, 0.47588605823999997, 0.47588605823999997","SCALE_RGB","0.99, 1, 1.01","0","1","separate_storm_sky_from_clear_weather_palette"
"RULE","","10.28.16","","","","","","","KREATE","Weathers/Snowstorm.ini","b3f72c1bfd68df522518b3f4988cb85641647d74b23e526090e2f273dc599576","Colors","CloudLodDiffuseNight","VECTOR3","0.037527, 0.037527, 0.037527","SCALE_RGB","0.99, 1, 1.02","0","1","preserve_cold_storm_cloud_separation_at_night"
"RULE","","11.11.11","","","","","","","OVERLAY","027. STYLE - 11.11.11 (LE).ini","c4faf9167774f390229c9544ec23667d797e9b4b8643daaf975cda32e171be1a","OVERLAYPARAM1","Operation","OVERLAY_OPERATION","""+ 0.08""","SET","""+ 0.06""","-1","1","moderate_legacy_day_adaptation_lift"
"RULE","","11.11.11","","","","","","","OVERLAY","027. STYLE - 11.11.11 (LE).ini","c4faf9167774f390229c9544ec23667d797e9b4b8643daaf975cda32e171be1a","OVERLAYPARAM7","Operation","OVERLAY_OPERATION","""+ 0.06""","SET","""+ 0.04""","-1","1","recover_day_highlight_headroom"
"RULE","","11.11.11","","","","","","","OVERLAY","027. STYLE - 11.11.11 (LE).ini","c4faf9167774f390229c9544ec23667d797e9b4b8643daaf975cda32e171be1a","OVERLAYPARAM9","Operation","OVERLAY_OPERATION","""+ 0.05""","SET","""+ 0.04""","-1","1","retain_classic_color_without_oversaturation"
"RULE","","11.11.11","","","","","","","OVERLAY","027. STYLE - 11.11.11 (LE).ini","c4faf9167774f390229c9544ec23667d797e9b4b8643daaf975cda32e171be1a","OVERLAYPARAM10","Operation","OVERLAY_OPERATION","""+ 0.03""","SET","""+ 0.05""","-1","1","improve_night_readability"
"RULE","","11.11.11","","","","","","","OVERLAY","027. STYLE - 11.11.11 (LE).ini","c4faf9167774f390229c9544ec23667d797e9b4b8643daaf975cda32e171be1a","OVERLAYPARAM16","Operation","OVERLAY_OPERATION","""+ 0.08""","SET","""+ 0.10""","-1","1","extend_filmic_white_point"
"RULE","","11.11.11","","","","","","","OVERLAY","027. STYLE - 11.11.11 (LE).ini","c4faf9167774f390229c9544ec23667d797e9b4b8643daaf975cda32e171be1a","OVERLAYPARAM18","Operation","OVERLAY_OPERATION","""+ -0.03""","SET","""+ -0.01""","-1","1","reduce_low_energy_bloom_spill"
"RULE","","11.11.11","","","","","","","OVERLAY","027. STYLE - 11.11.11 (LE).ini","c4faf9167774f390229c9544ec23667d797e9b4b8643daaf975cda32e171be1a","OVERLAYPARAM19","Operation","OVERLAY_OPERATION","""+ 0.08""","SET","""+ 0.06""","-1","1","preserve_bloom_shape_with_more_headroom"
"RULE","","11.11.11","","","","","","","OVERLAY","027. STYLE - 11.11.11 (LE).ini","c4faf9167774f390229c9544ec23667d797e9b4b8643daaf975cda32e171be1a","OVERLAYPARAM24","Operation","OVERLAY_OPERATION","""+ 0.08""","SET","""+ 0.06""","-1","1","temper_legacy_postpass_vibrance"
"RULE","","11.11.11","","","","","","","KREATE","ImageSpaces/ISVividClearDAY.ini","ca8d0116e2ee5574efa3ec607934c099997affac28021a176d4d7f7f7a1de67c","","Saturation","SCALAR","1.22","SET","1.14","0","2","reduce_day_imagespace_oversaturation"
"RULE","","11.11.11","","","","","","","KREATE","ImageSpaces/ISVividClearDAY.ini","ca8d0116e2ee5574efa3ec607934c099997affac28021a176d4d7f7f7a1de67c","","Contrast","SCALAR","1","SET","1.02","0","2","restore_gentle_imagespace_definition"
"RULE","","11.11.11","","","","","","","KREATE","ImageSpaces/ISVividClearNIGHT.ini","5d3a42e0cce2efbed65fcf0bc6c8cee562d3f030f4805c6d7fe4242c50fa7812","","Saturation","SCALAR","0.95","SET","0.98","0","2","recover_night_color_information"
"RULE","","11.11.11","","","","","","","KREATE","Weathers/SunnyTU.ini","add88e6ced5d9e50429de1f08da0f84349320eb90cee379e70a6c8ed99d563bf","Colors","SkyUpperDay","VECTOR3","0.3858440000000001, 0.6524690000000001, 0.807529","SCALE_RGB","1.03, 1, 0.97","0","1","soften_digital_blue_bias_in_clear_sky"
"RULE","","11.11.11","","","","","","","KREATE","Weathers/SunnyTU.ini","add88e6ced5d9e50429de1f08da0f84349320eb90cee379e70a6c8ed99d563bf","Colors","CloudLodDiffuseDay","VECTOR3","0.8415, 0.8415, 0.833","SCALE_RGB","1.01, 1, 0.98","0","1","retain_classic_warm_cloud_light"
"RULE","","11.11.11","","","","","","","KREATE","Weathers/Snowstorm.ini","c019ecc62d6aeeb76a20e7fd2078ca6a37040147502ec8708c546e8a5655ba95","Colors","SkyUpperDay","VECTOR3","0.47998097728, 0.48124481728, 0.48207673728","SCALE_RGB","0.99, 1, 1.01","0","1","separate_storm_sky_from_warm_clear_weather"
"RULE","","11.11.11","","","","","","","KREATE","Weathers/Snowstorm.ini","c019ecc62d6aeeb76a20e7fd2078ca6a37040147502ec8708c546e8a5655ba95","Colors","CloudLodDiffuseNight","VECTOR3","0.038267, 0.0381054, 0.0380855","SCALE_RGB","0.99, 1, 1.02","0","1","retain_cool_night_storm_separation"
"RULE","","Arrival of Autumn","","","","","","","OVERLAY","029. STYLE - Arrival of Autumn.ini","389694be65d0d968c1aecb9d96ca7f07f8f469d0d311c20ab4ef35f466d1eecd","OVERLAYPARAM1","Operation","OVERLAY_OPERATION","""+ 0.12""","SET","""+ 0.08""","-1","1","moderate_day_adaptation_for_highlight_headroom"
"RULE","","Arrival of Autumn","","","","","","","OVERLAY","029. STYLE - Arrival of Autumn.ini","389694be65d0d968c1aecb9d96ca7f07f8f469d0d311c20ab4ef35f466d1eecd","OVERLAYPARAM7","Operation","OVERLAY_OPERATION","""+ 0.1""","SET","""+ 0.06""","-1","1","protect_sunlit_faces_and_foliage_highlights"
"RULE","","Arrival of Autumn","","","","","","","OVERLAY","029. STYLE - Arrival of Autumn.ini","389694be65d0d968c1aecb9d96ca7f07f8f469d0d311c20ab4ef35f466d1eecd","OVERLAYPARAM8","Operation","OVERLAY_OPERATION","""+ 0.05""","SET","""+ 0.04""","-1","1","retain_shape_without_hardening_skin"
