record_type,bundle_id,profile_id,preset_directory,overlay_file,input_bundle_sha256,source_tree_sha256,expected_weather_records,expected_cloud_layers,max_double_tint_budget,scope,exposure_ev,chroma,tint_r,tint_g,tint_b,blend,min_luminance,max_luminance,rationale
"PROFILE","elder.10-28-16.first-pass","10.28.16","10.28.16","026. STYLE - 10.28.16 (SE).ini","33e5467cca590fe71900671c7990c873426f225d5108ea9fd47f116f7d1b6370","3d55a15fc9e3b6ea1add97d9a1b3e4914d4702881ae4fa8361b4acb8e4f9bb04",711,29,0.18,"BASE",0.00,1.015,1.005,1.000,0.995,0.42,0.000,0.980,"Modern SE clarity with restrained cyan correction and intact photographic headroom"
"FAMILY","elder.10-28-16.first-pass","10.28.16","10.28.16","026. STYLE - 10.28.16 (SE).ini","33e5467cca590fe71900671c7990c873426f225d5108ea9fd47f116f7d1b6370","3d55a15fc9e3b6ea1add97d9a1b3e4914d4702881ae4fa8361b4acb8e4f9bb04",711,29,0.18,"CLEAR",0.015,1.020,1.010,1.000,0.990,1.00,0.000,0.960,"Clear air receives slight solar warmth without postprocess tint stacking"
"FAMILY","elder.10-28-16.first-pass","10.28.16","10.28.16","026. STYLE - 10.28.16 (SE).ini","33e5467cca590fe71900671c7990c873426f225d5108ea9fd47f116f7d1b6370","3d55a15fc9e3b6ea1add97d9a1b3e4914d4702881ae4fa8361b4acb8e4f9bb04",711,29,0.18,"CLOUDY",0.000,0.980,0.995,1.000,1.010,1.00,0.000,0.920,"Cloud cover softens chroma and preserves cool depth separation"
"FAMILY","elder.10-28-16.first-pass","10.28.16","10.28.16","026. STYLE - 10.28.16 (SE).ini","33e5467cca590fe71900671c7990c873426f225d5108ea9fd47f116f7d1b6370","3d55a15fc9e3b6ea1add97d9a1b3e4914d4702881ae4fa8361b4acb8e4f9bb04",711,29,0.18,"FOG",-0.030,0.880,1.000,1.000,1.005,1.00,0.000,0.850,"Fog stays low contrast and neutral while matching the horizon exactly"
"FAMILY","elder.10-28-16.first-pass","10.28.16","10.28.16","026. STYLE - 10.28.16 (SE).ini","33e5467cca590fe71900671c7990c873426f225d5108ea9fd47f116f7d1b6370","3d55a15fc9e3b6ea1add97d9a1b3e4914d4702881ae4fa8361b4acb8e4f9bb04",711,29,0.18,"RAIN",-0.055,0.920,0.985,1.000,1.020,1.00,0.000,0.880,"Rain loses excess warmth and gains controlled blue-grey atmosphere"
"FAMILY","elder.10-28-16.first-pass","10.28.16","10.28.16","026. STYLE - 10.28.16 (SE).ini","33e5467cca590fe71900671c7990c873426f225d5108ea9fd47f116f7d1b6370","3d55a15fc9e3b6ea1add97d9a1b3e4914d4702881ae4fa8361b4acb8e4f9bb04",711,29,0.18,"SNOW",-0.015,0.940,0.990,1.000,1.015,1.00,0.000,0.960,"Snow remains clean and cool with a hard highlight ceiling"
"FAMILY","elder.10-28-16.first-pass","10.28.16","10.28.16","026. STYLE - 10.28.16 (SE).ini","33e5467cca590fe71900671c7990c873426f225d5108ea9fd47f116f7d1b6370","3d55a15fc9e3b6ea1add97d9a1b3e4914d4702881ae4fa8361b4acb8e4f9bb04",711,29,0.18,"STORM",-0.090,0.860,0.980,0.995,1.030,1.00,0.000,0.780,"Storms compress energy and deepen cool mass without crushing navigation"
"TIME","elder.10-28-16.first-pass","10.28.16","10.28.16","026. STYLE - 10.28.16 (SE).ini","33e5467cca590fe71900671c7990c873426f225d5108ea9fd47f116f7d1b6370","3d55a15fc9e3b6ea1add97d9a1b3e4914d4702881ae4fa8361b4acb8e4f9bb04",711,29,0.18,"SUNRISE",-0.040,1.020,1.025,1.000,0.975,1.00,0.025,0.880,"Sunrise adds restrained amber separation below daylight luminance"
"TIME","elder.10-28-16.first-pass","10.28.16","10.28.16","026. STYLE - 10.28.16 (SE).ini","33e5467cca590fe71900671c7990c873426f225d5108ea9fd47f116f7d1b6370","3d55a15fc9e3b6ea1add97d9a1b3e4914d4702881ae4fa8361b4acb8e4f9bb04",711,29,0.18,"DAY",0.000,1.000,1.000,1.000,1.000,1.00,0.000,0.960,"Day remains the temporal luminance ceiling with neutral response"
"TIME","elder.10-28-16.first-pass","10.28.16","10.28.16","026. STYLE - 10.28.16 (SE).ini","33e5467cca590fe71900671c7990c873426f225d5108ea9fd47f116f7d1b6370","3d55a15fc9e3b6ea1add97d9a1b3e4914d4702881ae4fa8361b4acb8e4f9bb04",711,29,0.18,"SUNSET",-0.060,1.025,1.035,1.000,0.965,1.00,0.020,0.860,"Sunset carries deeper warmth while retaining highlight rolloff"
"TIME","elder.10-28-16.first-pass","10.28.16","10.28.16","026. STYLE - 10.28.16 (SE).ini","33e5467cca590fe71900671c7990c873426f225d5108ea9fd47f116f7d1b6370","3d55a15fc9e3b6ea1add97d9a1b3e4914d4702881ae4fa8361b4acb8e4f9bb04",711,29,0.18,"NIGHT",-0.080,0.900,0.975,1.000,1.035,1.00,0.012,0.340,"Night stays readable and blue-neutral without photographic double tint"
"PROFILE","elder.11-11-11.first-pass","11.11.11","11.11.11","027. STYLE - 11.11.11 (LE).ini","8ab5a5d4456c72ee2bde69f7a97d2a27cff91ce97d7b22829cc3ef9621a7e59b","2079b12e5628d927351f384c8afc1843e875a3b5377cce4b539db5923ac1f2c2",711,29,0.16,"BASE",-0.010,1.030,1.012,1.000,0.985,0.40,0.000,0.980,"Classic 2011 warmth retained inside a modern filmic exposure envelope"
"FAMILY","elder.11-11-11.first-pass","11.11.11","11.11.11","027. STYLE - 11.11.11 (LE).ini","8ab5a5d4456c72ee2bde69f7a97d2a27cff91ce97d7b22829cc3ef9621a7e59b","2079b12e5628d927351f384c8afc1843e875a3b5377cce4b539db5923ac1f2c2",711,29,0.16,"CLEAR",0.015,1.020,1.015,1.000,0.985,1.00,0.000,0.960,"Clear weather preserves the classic warm daylight signature"
"FAMILY","elder.11-11-11.first-pass","11.11.11","11.11.11","027. STYLE - 11.11.11 (LE).ini","8ab5a5d4456c72ee2bde69f7a97d2a27cff91ce97d7b22829cc3ef9621a7e59b","2079b12e5628d927351f384c8afc1843e875a3b5377cce4b539db5923ac1f2c2",711,29,0.16,"CLOUDY",0.000,0.980,1.005,1.000,0.995,1.00,0.000,0.920,"Clouds soften the legacy palette without turning cyan"
"FAMILY","elder.11-11-11.first-pass","11.11.11","11.11.11","027. STYLE - 11.11.11 (LE).ini","8ab5a5d4456c72ee2bde69f7a97d2a27cff91ce97d7b22829cc3ef9621a7e59b","2079b12e5628d927351f384c8afc1843e875a3b5377cce4b539db5923ac1f2c2",711,29,0.16,"FOG",-0.030,0.880,1.005,1.000,1.000,1.00,0.000,0.850,"Fog is restrained and near-neutral for believable distance integration"
"FAMILY","elder.11-11-11.first-pass","11.11.11","11.11.11","027. STYLE - 11.11.11 (LE).ini","8ab5a5d4456c72ee2bde69f7a97d2a27cff91ce97d7b22829cc3ef9621a7e59b","2079b12e5628d927351f384c8afc1843e875a3b5377cce4b539db5923ac1f2c2",711,29,0.16,"RAIN",-0.055,0.920,0.995,1.000,1.010,1.00,0.000,0.880,"Rain tempers amber bias while retaining the profile identity"
