record_type,canonical_identity,overlay_file,overlay_sha256,preset_directory,preset_info_sha256,alias
"BINDING","10.28.16","026. STYLE - 10.28.16 (SE).ini","e8b9720a3d378c66ea0d30b2ae4b9e4bb008389b8bd0641dad07cba67e93c938","10.28.16","f31be6303fa8bcbd1234594a49afdee7d2aab44296813ea51d7d4ad7d4feee43",""
"BINDING","11.11.11","027. STYLE - 11.11.11 (LE).ini","c4faf9167774f390229c9544ec23667d797e9b4b8643daaf975cda32e171be1a","11.11.11","722f436ce2f3e1a301280332da1352005b6ff013dcf5721bfbea9fd748d8873b",""
"BINDING","Arctic Silence","028. STYLE - Arctic Silence.ini","8fc6479d08c24cdfcb5d463b9ba27eea44c008c8fbb74202ed1a66db186155ef","Arctic Silence","f31be6303fa8bcbd1234594a49afdee7d2aab44296813ea51d7d4ad7d4feee43",""
"BINDING","Arrival of Autumn","029. STYLE - Arrival of Autumn.ini","389694be65d0d968c1aecb9d96ca7f07f8f469d0d311c20ab4ef35f466d1eecd","Arrival of Autumn","2ad389acc549aed846cacadbe4e1507c629754f06c5c9a3c8bc3bf5d83413caf",""
"BINDING","Blockbuster","030. STYLE - Blockbuster.ini","bb6a07652c9a6728a308dd6a70048ef9f89a88586f650c36615279b8f20d055b","Blockbuster","afb5d9ce2a2be4f290e481c7846dc68d6a0ceeb630492d41cc80a14c1cdbfe38",""
"BINDING","Contemplative","031. STYLE - Contemplative.ini","ea928a57c90d9c3606580b89e8f6c4ee43a9a10b7ac4e19bb25ab83e47fe18fc","Contemplative","f31be6303fa8bcbd1234594a49afdee7d2aab44296813ea51d7d4ad7d4feee43",""
"BINDING","Desert Mirage","032. STYLE - Desert Mirage.ini","a78a3d8f41c2525e0e65f98117cda9b073480dd893cb12317da300fb2d889c1a","Desert Mirage","f31be6303fa8bcbd1234594a49afdee7d2aab44296813ea51d7d4ad7d4feee43",""
"BINDING","Dramatic Contrast","033. STYLE - Dramatic Contrast.ini","feb553a4f90b5858a175aa9df6b7e30d92b9a6ad5a53c7029a4445305ebec324","Dramatic Contrast","f31be6303fa8bcbd1234594a49afdee7d2aab44296813ea51d7d4ad7d4feee43",""
"BINDING","Elder Originals","034. STYLE - Elder Originals.ini","5e47e17586731d3063519cdbe91faf9af939840e389a3288a2993653f7f47a31","Elder Originals","2ad389acc549aed846cacadbe4e1507c629754f06c5c9a3c8bc3bf5d83413caf",""
"BINDING","Emerald Forest","035. STYLE - Emerald Forest.ini","a6d5cc081cbfaf087d60185411c4f8781a932b294cf73472d5ef62cca9c71118","Emerald Forest","f31be6303fa8bcbd1234594a49afdee7d2aab44296813ea51d7d4ad7d4feee43",""
"BINDING","Ethqnm Edition","036. STYLE - Ethqnm Edition.ini","a840c68d177009cec01c1d7acb8274cd7e9641fe1c051a42aa6a4e64a584d12b","Ethqnm Edition","53e366cb8eb7df753b3fd5ddf0ac41243581ab85f3e7bd731c67169facf3f728",""
"BINDING","Faded Film","037. STYLE - Faded Film.ini","7b4186327c037f94bad14ed4bdfc3f73f6d463efecf9246009e51b0b15e817d8","Faded Film","f31be6303fa8bcbd1234594a49afdee7d2aab44296813ea51d7d4ad7d4feee43",""
"BINDING","Golden Hour Extreme","038. STYLE - Golden Hour Extreme.ini","c0e88d8503c9fd6fcabdb55d1edbcccbd47ec7d35ace2e1631d0f6e6e59bc1b3","Golden Hour Extreme","f31be6303fa8bcbd1234594a49afdee7d2aab44296813ea51d7d4ad7d4feee43",""
"BINDING","Gothic Shadows","039. STYLE - Gothic Shadows.ini","e304b06593a88397e3ff103f79bf9070eadd2782e09487c04f250ae9d7b1ad1f","Gothic Shadows","f31be6303fa8bcbd1234594a49afdee7d2aab44296813ea51d7d4ad7d4feee43",""
"BINDING","High Key","040. STYLE - High Key.ini","e278d2b3b1afe3f12a047c62b725f5e2e0790c8cf0b9b0deebbe64272c356546","High Key","f31be6303fa8bcbd1234594a49afdee7d2aab44296813ea51d7d4ad7d4feee43",""
"BINDING","Jötunheimar","041. STYLE - Jotunheimar.ini","960c12ad63040fd7d488a6a5f1c477b61fc4c27faa6ed2e8fa600e13fba0c2a2","Jötunheimar","53e366cb8eb7df753b3fd5ddf0ac41243581ab85f3e7bd731c67169facf3f728",""
"BINDING","Maritime Noir","042. STYLE - Maritime Noir.ini","aff22bd9628f5753ef031f4be1022cee449ca0a7d116a8001ded67cd0f1a31fe","Maritime Noir","f31be6303fa8bcbd1234594a49afdee7d2aab44296813ea51d7d4ad7d4feee43",""
"BINDING","Monochrome Classic","043. STYLE - Monochrome Classic.ini","fca8848a2f41829ee610c73be30598dac2a5e69fe78e9e41f0047e7a01f4ae3e","Monochrome Classic","f31be6303fa8bcbd1234594a49afdee7d2aab44296813ea51d7d4ad7d4feee43",""
"BINDING","Monochrome Dramatic","044. STYLE - Monochrome Dramatic.ini","decb2876815ce02a2fafc3df3b34550d9dce18399ee8049b4b06e51cd996e1e0","Monochrome Dramatic","f31be6303fa8bcbd1234594a49afdee7d2aab44296813ea51d7d4ad7d4feee43",""
"BINDING","Moody Blue Hour","045. STYLE - Moody Blue Hour.ini","0ddc25353e35266a5bf0eaa021c8a5ce7c091cc0e63c138d081aaa185bd72c06","Moody Blue Hour","f31be6303fa8bcbd1234594a49afdee7d2aab44296813ea51d7d4ad7d4feee43",""
"BINDING","Mystic Night","046. STYLE - Mystic Night.ini","f58d68f96f5d71bc60bdd42a9b0f01b4ebbae0f0807c7027dfd8de645c1594e9","Mystic Night","f31be6303fa8bcbd1234594a49afdee7d2aab44296813ea51d7d4ad7d4feee43",""
"BINDING","Natural Documentary","047. STYLE - Natural Documentary.ini","a27eb41d06dc91a10574d11b817e066477a6f0049736196186a985e1d2d6f2de","Natural Documentary","f31be6303fa8bcbd1234594a49afdee7d2aab44296813ea51d7d4ad7d4feee43",""
