target_filename,target_category,binding_key,binding_type,evidence_id,declaration_artifact_id,declaration_artifact_sha256,declaration_span_sha256,declaration_span_bytes,declaration_context_sha256,use_artifact_id,use_artifact_sha256,use_span_sha256,use_span_bytes,use_context_sha256,semantic_paraphrase,evidence,uncertainty,required_profiles
"ENBADAPTATION.FX","Adaptation.","- Day - Exposure Compensation (in EVs)","ADD_SCALAR","elder-semantic-evidence-001","artifact-01","890c78730fea24609c457477abff625e832900c5636769279c9262109eed5139","359b56d91052c0207ff9f82484ed0da9aa942ff4da570b1563d6509f4196309f","34","88b7ef8a9ea88fb41c0d73b15f3f4fb65b4ffc259257f78323269b331bfe38b9","artifact-01","890c78730fea24609c457477abff625e832900c5636769279c9262109eed5139","e49fedd67db85f1158cce1670ac09901e4c4fa0179a485a5671b612779278780","62","661ec54c5695365500d9f7bbd748db21e3ad9c0a0e3e7ac6f29545111212398d","Day exposure compensation enters time-of-day adaptation and scales metered luminance.","VERIFIED_EXTERNAL_EVIDENCE","","10.28.16;11.11.11;Arrival of Autumn;Jötunheimar;Neutral"
"ENBADAPTATION.FX","Adaptation.","- Night - Darkness Attenuation","ADD_SCALAR","elder-semantic-evidence-002","artifact-01","890c78730fea24609c457477abff625e832900c5636769279c9262109eed5139","bde5a707d80df9331de58e3d1919bbb0e96f88ea56a28dbb80833363c5f132aa","34","1dc18f932fdbb5e34d82daa09e3292e1a6e4edf4ecbf1e78ba61dcceacbcde19","artifact-01","890c78730fea24609c457477abff625e832900c5636769279c9262109eed5139","fabe807a40a7cec51853a45369c792b342ccbeb1e202ca195b8c7e65060aa0db","66","e17a7b35c4acc4260a107fc7c14fc28e5209cf05bec23ddc72efcafc44e136bc","Night darkness attenuation enters time-of-day adaptation and shapes the low-light response.","VERIFIED_EXTERNAL_EVIDENCE","","11.11.11;Arrival of Autumn;Jötunheimar"
"ENBADAPTATION.FX","Adaptation.","- Night - Exposure Compensation (in EVs)","ADD_SCALAR","elder-semantic-evidence-003","artifact-01","890c78730fea24609c457477abff625e832900c5636769279c9262109eed5139","bde5a707d80df9331de58e3d1919bbb0e96f88ea56a28dbb80833363c5f132aa","34","1dc18f932fdbb5e34d82daa09e3292e1a6e4edf4ecbf1e78ba61dcceacbcde19","artifact-01","890c78730fea24609c457477abff625e832900c5636769279c9262109eed5139","e5095fbe2c1b4ecee72b92ac47176e5627fb79c2ba568f07f166d6fa4441fa4e","61","496e7e311e62c7f0400292fdc8bf8fba36d5ae4f05552c2ad68fa7d2a25d6a11","Night exposure compensation enters time-of-day adaptation and scales metered luminance.","VERIFIED_EXTERNAL_EVIDENCE","","10.28.16;11.11.11;Arrival of Autumn;Jötunheimar;Neutral"
"ENBBLOOM.FX","Bloom.","- Day - Amount","ADD_SCALAR","elder-semantic-evidence-004","artifact-02","1c93ee85b2ccc253b590cfc38e2080a9656a9d3b9fff47c8043fbe3cc184e721","0765951decabfb4ad84658e0c32d6dc0cc70e69c26e33bb62d31f8ed659fe47e","21","f3aaf8027ef52f6c7c0d07dd71487c117f6795d9060dc55e65bbaf61cb07975c","artifact-02","1c93ee85b2ccc253b590cfc38e2080a9656a9d3b9fff47c8043fbe3cc184e721","b2ac90aa1324b22b837c0b8415e4b472a51e9d6a3da56deef3d48cbb8cb4c3f5","75","fa9f2061734f8cd8f3c6e897b25b713a7e4ad36f19161da69cb23df2ca386647","The project Amount label controls daytime bloom energy before compositing.","VERIFIED_EXTERNAL_EVIDENCE","The display label differs from the internal control name but the evidence spans establish the mapping.","10.28.16;11.11.11;Arrival of Autumn;Jötunheimar;Neutral"
"ENBBLOOM.FX","Bloom.","- Day - Saturation","ADD_SCALAR","elder-semantic-evidence-005","artifact-02","1c93ee85b2ccc253b590cfc38e2080a9656a9d3b9fff47c8043fbe3cc184e721","14298b9542a975159946039091f02d3ea8255c098c7502d343b5ccddffa7fc0f","22","7589653a21f8702f1f4aaa8e250527cc6b0521284491bfa8b03b54eb2806e0a6","artifact-02","1c93ee85b2ccc253b590cfc38e2080a9656a9d3b9fff47c8043fbe3cc184e721","c1573dc31f82452ed47188497c0ac0a131a46695a3b92705efb6932e28558e76","78","552801fa6533693be737e47e3507f250b4af93a04923456e5b26ebb0a77411af","Day saturation enters the bloom color response before compositing.","VERIFIED_EXTERNAL_EVIDENCE","","11.11.11;Arrival of Autumn;Jötunheimar"
"ENBBLOOM.FX","Bloom.","- Day - Threshold","ADD_SCALAR","elder-semantic-evidence-006","artifact-02","1c93ee85b2ccc253b590cfc38e2080a9656a9d3b9fff47c8043fbe3cc184e721","40cfa2e181c1897770c46831e26462fa69e552faac05b0f4ae6cb5ff2c3740a5","21","6f9a8240720d06ae4d5bc777daae42c78e50278311023a3c282e9e43d8e2dcec","artifact-02","1c93ee85b2ccc253b590cfc38e2080a9656a9d3b9fff47c8043fbe3cc184e721","aaaf07d4d8646ae2158aeaa02cc7fc5b3e02ed466a7b7c6d553ef941fef73585","75","a03799a8b071811b23644f2ceeef7f01737383004f22f57891bb8ff108207da7","Day threshold controls the image energy admitted into bloom.","VERIFIED_EXTERNAL_EVIDENCE","","10.28.16;11.11.11;Arrival of Autumn;Jötunheimar;Neutral"
"ENBEFFECT.FX","CG.HDR.","- Day - Contrast","ADD_SCALAR","elder-semantic-evidence-007","artifact-03","086970907c9a223335c6dec27d26aabb3b66b52eaa4becb14fa84d36edeafdb6","144ee67ec607d5a5a626b7cc27db02a61ca5efb1a1500b02bb12e8a795bdf662","21","2f3660fc7e45ea1860c1f6a2e406655261030190b51061bb0d0d3ab8550f0698","artifact-03","086970907c9a223335c6dec27d26aabb3b66b52eaa4becb14fa84d36edeafdb6","05b915e2be411c742ce66333335674a1249be02621203f7379edcaecb3c7eaa9","81","a151bfee2b882408e25ba9619bb51f0bea416048bfa38c686a7bcaf4b29c57a4","Day contrast enters the high-dynamic-range color response.","VERIFIED_EXTERNAL_EVIDENCE","","10.28.16;11.11.11;Arrival of Autumn;Jötunheimar;Neutral"
"ENBEFFECT.FX","CG.HDR.","- Day - Exposure (in EVs)","ADD_SCALAR","elder-semantic-evidence-008","artifact-03","086970907c9a223335c6dec27d26aabb3b66b52eaa4becb14fa84d36edeafdb6","140f6dbe4147d9a2a3a575ed7a4101f8f135d881fd07e702c69cfb55d05f9ecd","21","be8af653b786188f09a6ef49eb3a6e1085b07bf93897e3a785c9a4dc8d4b24eb","artifact-03","086970907c9a223335c6dec27d26aabb3b66b52eaa4becb14fa84d36edeafdb6","dbbc49f8d6b9eb85dba06581537264d194cf0ff2f5282cd5cebbc2dcdb308ee6","81","19fe21443df196d077f0637bfd4e9934331216b1d3fa4d1923dd4dd8188f05a4","Day exposure enters the high-dynamic-range color response.","VERIFIED_EXTERNAL_EVIDENCE","","10.28.16;11.11.11;Arrival of Autumn;Jötunheimar;Neutral"
"ENBEFFECT.FX","CG.HDR.","- Day - Saturation","ADD_SCALAR","elder-semantic-evidence-009","artifact-03","086970907c9a223335c6dec27d26aabb3b66b52eaa4becb14fa84d36edeafdb6","86908e8acc15de405dee9a0ba219290762f0a6c8fdb745d0af10a5f608a3e33f","23","7092c334dc5eebe43280e2a6741224a6003c8dccee6503d83107770737620571","artifact-03","086970907c9a223335c6dec27d26aabb3b66b52eaa4becb14fa84d36edeafdb6","a329fd5a62d530c0160025a01ba4c79c95bb6b10d72a1d3f79af68d00a44ca99","87","65cb750a48b0953664709b6e845a420021f877450bae73d9722017b9ec691901","Day saturation enters the high-dynamic-range color response.","VERIFIED_EXTERNAL_EVIDENCE","","10.28.16;11.11.11;Arrival of Autumn;Jötunheimar;Neutral"
"ENBEFFECT.FX","CG.HDR.","- Night - Exposure (in EVs)","ADD_SCALAR","elder-semantic-evidence-010","artifact-03","086970907c9a223335c6dec27d26aabb3b66b52eaa4becb14fa84d36edeafdb6","76fb1f4a793bfa6da66f308ab962cb539d8ca50a2cd9f9675ceb159cb6afdcd6","23","a82f068cfdb302db587a7b5182f2c3de7087d62236c7c834ed03d207bfbd09ed","artifact-03","086970907c9a223335c6dec27d26aabb3b66b52eaa4becb14fa84d36edeafdb6","9813dd59039d9f89c36ff7cde2933680915baccb4051dac61afb09321f5aa93f","53","657c84162e46c7591f9a3759bcacce9aa9cf14bd9418635c0ce3448010ced6db","Night exposure enters the high-dynamic-range color response.","VERIFIED_EXTERNAL_EVIDENCE","","10.28.16;11.11.11;Arrival of Autumn;Jötunheimar"
